Name,Image URL,Product URL,Price (INR Numeric),Price (INR Formatted),Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD Ryzen 5 1600X 3.6 GHz 6-Core Processor,,https://pcpartpicker.com/product/8hwqqs/amd-ryzen-5-1600x-36ghz-6-core-processor-yd160xbcaewof,,11443.0,AMD,YD160XBCAEWOF,AMD Ryzen 5,Zen,Summit Ridge,AM4,6,3.6 GHz,4 GHz,,,3 MB,16 MB,95 W,,,No,No,Boxed,14 nm,No,Yes
Intel Core i3-10100 3.6 GHz Quad-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/b9e5be26e6c5e8bbfccccf521c16fde2.256p.jpg,https://pcpartpicker.com/product/qtqBD3/intel-core-i3-10100-36-ghz-quad-core-processor-bx8070110100,,18683.0,Intel,BX8070110100,Intel Core i3,Comet Lake,Comet Lake,LGA1200,4,3.6 GHz,4.3 GHz,,,1 MB,6 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i5-7600K 3.8 GHz Quad-Core Processor,,https://pcpartpicker.com/product/dQM323/intel-core-i5-7600k-38ghz-quad-core-processor-bx80677i57600k,,35540.0,Intel,BX80677I57600K,Intel Core i5,Kaby Lake,Kaby Lake-S,LGA1151,4,3.8 GHz,4.2 GHz,,,1 MB,6 MB,91 W,Intel HD Graphics 630,64 GB,No,No,Boxed,14 nm,No,No
Intel Core i5-13400 2.5 GHz 10-Core Processor,,https://pcpartpicker.com/product/7xLFf7/intel-core-i5-13400-25-ghz-10-core-processor-bx8071513400,,37544.0,Intel,BX8071513400,Intel Core i5,Raptor Lake,Raptor Lake,LGA1700,10,2.5 GHz,4.6 GHz,1.8 GHz,3.3 GHz,9.5 MB,20 MB,65 W,Intel UHD Graphics 730,192 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i7-11700 2.5 GHz 8-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/8d5a39d0af57bddb57731195a8c1d58c.256p.jpg,https://pcpartpicker.com/product/7RTp99/intel-core-i7-11700-25-ghz-8-core-processor-bx8070811700,,48513.0,Intel,BX8070811700,Intel Core i7,Rocket Lake,Rocket Lake-S,LGA1200,8,2.5 GHz,4.9 GHz,,,4 MB,16 MB,65 W,Intel UHD Graphics 750,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i5-11600KF 3.9 GHz 6-Core Processor,,https://pcpartpicker.com/product/K3Z9TW/intel-core-i5-11600kf-39-ghz-6-core-processor-bx8070811600kf,,17048.0,Intel,BX8070811600KF,Intel Core i5,Rocket Lake,Rocket Lake-S,LGA1200,6,3.9 GHz,4.9 GHz,,,3 MB,12 MB,125 W,,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
AMD Ryzen 5 5500X3D 3 GHz 6-Core OEM/Tray Processor,,https://pcpartpicker.com/product/L79nTW/amd-ryzen-5-5500x3d-3-ghz-6-core-oemtray-processor-100-000001504,,,AMD,100-000001504,AMD Ryzen 5,Zen 3,Vermeer-X,AM4,6,3 GHz,4 GHz,,,3 MB,96 MB,105 W,,128 GB,Yes,No,OEM/Tray,7 nm,No,Yes
Intel Core i9-11900KF 3.5 GHz 8-Core Processor,,https://pcpartpicker.com/product/9rrRsY/intel-core-i9-11900kf-35-ghz-8-core-processor-bx8070811900kf,,51264.0,Intel,BX8070811900KF,Intel Core i9,Rocket Lake,Rocket Lake-S,LGA1200,8,3.5 GHz,5.3 GHz,,,4 MB,16 MB,125 W,,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i9-10900KF 3.7 GHz 10-Core Processor,,https://pcpartpicker.com/product/CT3mP6/intel-core-i9-10900kf-37-ghz-10-core-processor-bx8070110900kf,,51264.0,Intel,BX8070110900KF,Intel Core i9,Comet Lake,Comet Lake,LGA1200,10,3.7 GHz,5.3 GHz,,,2.5 MB,20 MB,125 W,,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
AMD FX-8350 4 GHz 8-Core Processor,,https://pcpartpicker.com/product/ykphP6/amd-cpu-fd8350frhkbox,,,AMD,FD8350FRHKBOX,AMD FX,Piledriver,Vishera,AM3+,8,4 GHz,,,,8 MB,8 MB,125 W,,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i5-10500 3.1 GHz 6-Core Processor,,https://pcpartpicker.com/product/JKbCmG/intel-core-i5-10500-31-ghz-6-core-processor-bx8070110500,,26852.0,Intel,BX8070110500,Intel Core i5,Comet Lake,Comet Lake,LGA1200,6,3.1 GHz,4.5 GHz,,,1.5 MB,12 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core Ultra 5 235 3.4 GHz 14-Core Processor,,https://pcpartpicker.com/product/gjy8TW/intel-core-ultra-5-235-34-ghz-14-core-processor-bx80768235,,31528.0,Intel,BX80768235,Intel Core Ultra 5,Arrow Lake,Arrow Lake,LGA1851,14,3.4 GHz,5 GHz,2.9 GHz,4.4 GHz,26 MB,24 MB,65 W,Intel Xe,256 GB,Yes,Yes,Boxed,3 nm,Yes,No
AMD Ryzen 5 3500 3.6 GHz 6-Core Processor,,https://pcpartpicker.com/product/ZKqBD3/amd-ryzen-5-3500-36-ghz-6-core-processor-100-000000050,,,AMD,100-000000050,AMD Ryzen 5,Zen 2,Matisse,AM4,6,3.6 GHz,4.1 GHz,,,3 MB,32 MB,65 W,,128 GB,No,Yes,Boxed,7 nm,Yes,No
Intel Core i3-10105F 3.7 GHz Quad-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/104690dc90e6297964380eeb9204f524.256p.jpg,https://pcpartpicker.com/product/hYgFf7/intel-core-i3-10105f-37-ghz-quad-core-processor-bx8070110105f,,11794.0,Intel,BX8070110105F,Intel Core i3,Comet Lake,Comet Lake,LGA1200,4,3.7 GHz,4.4 GHz,,,1 MB,6 MB,65 W,,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 5 7400F 3.7 GHz 6-Core OEM/Tray Processor,,https://pcpartpicker.com/product/M3vscf/amd-ryzen-5-7400f-37-ghz-6-core-oemtray-processor-100-000001845,,,AMD,100-000001845,AMD Ryzen 5,Zen 4,Raphael,AM5,6,3.7 GHz,4.7 GHz,,,6 MB,32 MB,65 W,,128 GB,Yes,No,OEM/Tray,5 nm,No,Yes
Intel Core i5-10600KF 4.1 GHz 6-Core Processor,,https://pcpartpicker.com/product/p6jNnQ/intel-core-i5-10600kf-41-ghz-6-core-processor-bx8070110600kf,,27182.0,Intel,BX8070110600KF,Intel Core i5,Comet Lake,Comet Lake,LGA1200,6,4.1 GHz,4.8 GHz,,,1.5 MB,12 MB,125 W,,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i7-13700 2.1 GHz 16-Core Processor,,https://pcpartpicker.com/product/8VqPxr/intel-core-i7-13700-21-ghz-16-core-processor-bx8071513700,,77304.0,Intel,BX8071513700,Intel Core i7,Raptor Lake,Raptor Lake,LGA1700,16,2.1 GHz,5.2 GHz,1.5 GHz,4.1 GHz,24 MB,30 MB,65 W,Intel UHD Graphics 770,192 GB,Yes,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
