Name,Image URL,Product URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,HDMI 2.1b Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,DisplayPort 2.1a Outputs,DisplayPort 2.1b Outputs,SLI/CrossFire
MSI RTX 3060 Ventus 3X 12G OC GeForce RTX 3060 12GB 12 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/24f2250843caa631f82d234bc781e9d0.256p.jpg,https://pcpartpicker.com/product/tkTp99/msi-geforce-rtx-3060-12-gb-ventus-3x-oc-video-card-rtx3060ventus3x12goc,35031.0,MSI,"RTX3060Ventus3X12GOC, GeForce RTX 3060 VENTUS 3X 12G OC, V397-031R, G3060V3X12C, 912-V397-038",GeForce RTX 3060 12GB,12 GB,GDDR6,1320 MHz,1807 MHz,15000 MHz,PCIe x16,Black,G-Sync,316 mm,170 W,2,2,3 Fans,1 x PCIe 8-pin,1.0,3.0,,,,,,,,,
Zotac GAMING SOLO GeForce RTX 5060 8 GB Video Card,,https://pcpartpicker.com/product/Vpm2FT/zotac-gaming-solo-geforce-rtx-5060-8-gb-video-card-zt-b50600g-10l,50771.0,Zotac,ZT-B50600G-10L,GeForce RTX 5060,8 GB,GDDR7,2280 MHz,2497 MHz,28000 MHz,PCIe x16,Black,G-Sync,164 mm,145 W,2,2,1 Fan,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Intel Limited Edition Arc A750 8 GB Video Card,,https://pcpartpicker.com/product/DMRYcf/intel-limited-edition-arc-a750-8-gb-video-card-99am3d,30377.0,Intel,"99AM3D, 21P02J00BA",Arc A750,8 GB,GDDR6,2050 MHz,,,PCIe x16,Black,,250 mm,225 W,2,2,2 Fans,1 x PCIe 8-pin + 1 x PCIe 6-pin,,,,,,,,,,,
MSI VENTUS XS OC GeForce GTX 1660 SUPER 6 GB Video Card,,https://pcpartpicker.com/product/Z3wkcf/msi-geforce-gtx-1660-super-6-gb-ventus-xs-oc-video-card-gtx-1660-super-ventus-xs-oc,37367.0,MSI,"GTX 1660 SUPER VENTUS XS OC, G166SVXSC, GeForce GTX 1660 SUPER VENTUS XS OC, V375-279R",GeForce GTX 1660 SUPER,6 GB,GDDR6,1530 MHz,1815 MHz,14000 MHz,PCIe x16,Black / Silver,G-Sync,204 mm,125 W,2,2,2 Fans,1 x PCIe 8-pin,1.0,3.0,,,,,,,,,
PowerColor Fighter Radeon RX 6600 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/06dea0e8919cbeb7f48fab460c220550.256p.jpg,https://pcpartpicker.com/product/fQhFf7/powercolor-radeon-rx-6600-8-gb-fighter-video-card-axrx-6600-8gbd6-3dh,41105.0,PowerColor,AXRX 6600 8GBD6-3DH,Radeon RX 6600,8 GB,GDDR6,1626 MHz,2491 MHz,,PCIe x16,Black,FreeSync,200 mm,132 W,2,2,2 Fans,1 x PCIe 8-pin,1.0,3.0,,,,,,,,,
NVIDIA Founders Edition GeForce RTX 3090 24 GB Video Card,,https://pcpartpicker.com/product/PFVG3C/nvidia-geforce-rtx-3090-24-gb-founders-edition-video-card-900-1g136-2510-000,,NVIDIA,900-1G136-2510-000,GeForce RTX 3090,24 GB,GDDR6X,1395 MHz,1695 MHz,19500 MHz,PCIe x16,Black / Silver,G-Sync,313 mm,350 W,3,3,2 Fans,1 x PCIe 12-pin,1.0,3.0,,,,,,,,,2-way SLI Capable
ASRock Steel Legend OC Radeon RX 9070 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/3004328aa100f193657f005e7f5123c3.256p.jpg,https://pcpartpicker.com/product/QPFCmG/asrock-steel-legend-oc-radeon-rx-9070-16-gb-video-card-rx9070-sl-16go,80574.0,ASRock,"RX9070 SL 16GO, 90-GA5EZZ-00UANF",Radeon RX 9070,16 GB,GDDR6,2210 MHz,2700 MHz,,PCIe x16,White / Gray,FreeSync,298 mm,220 W,2,3,3 Fans,2 x PCIe 8-pin,,,,,1.0,,,,3.0,,
Zotac Solid Core OC GeForce RTX 5070 Ti 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/c5f602a14f96f5f8f0bdb09fd3381310.256p.jpg,https://pcpartpicker.com/product/fXVfrH/zotac-solid-core-oc-geforce-rtx-5070-ti-16-gb-video-card-zt-b50710q2-10p,174371.0,Zotac,ZT-B50710Q2-10P,GeForce RTX 5070 Ti,16 GB,GDDR7,2300 MHz,2482 MHz,28000 MHz,PCIe x16,White / Gold,G-Sync,304 mm,300 W,3,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Asus ProArt OC GeForce RTX 5080 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/577b94dc88c70f85b0f5c2f1c41e0994.256p.jpg,https://pcpartpicker.com/product/DQ9nTW/asus-proart-oc-geforce-rtx-5080-16-gb-video-card-proart-rtx5080-o16g,241253.0,Asus,"PROART-RTX5080-O16G, 90YV0N30-M0NA00, 90YV0N30-MVAA00, 90YV0N30-M0AA00",GeForce RTX 5080,16 GB,GDDR7,2300 MHz,2730 MHz,,PCIe x16,Black / Gold,G-Sync,304 mm,360 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,2.0,
MSI GeForce GTX 1650 SUPER GeForce GTX 1650 SUPER 4 GB Video Card,,https://pcpartpicker.com/product/7BrYcf/msi-geforce-gtx-1650-super-4-gb-ventus-xs-oc-video-card-gtx-1650-super-ventus-xs-oc,48929.0,MSI,"GeForce GTX 1650 Super Ventus XS OC, GTX 1650 Super Ventus XS OC, V809-3294R",GeForce GTX 1650 SUPER,4 GB,GDDR6,1530 MHz,1740 MHz,12000 MHz,PCIe x16,Black / Silver,G-Sync,180 mm,100 W,2,2,2 Fans,1 x PCIe 6-pin,1.0,1.0,1.0,,,,,,,,
